productName,price,rating,specScore,features,brand,processor,storage,cores,ram,screen_size,Warranty,OS,graphics,storage_type,ram_type,resolution,graphics_category,resolution_category
Asus Vivobook 16X K3605ZF-MBN545WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX2050),69990,4.6,69,"'12th Gen Intel Core i5 12500H', '12 Cores (4P + 8E), 16 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '16\u2009inches, 1920\u2009x\u20091200\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i5,512,12 ,16,16.0,12,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1200,NVIDIA,Widescreen (16:10)
Asus Vivobook 16X K3605ZC-MBN554WS Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 4GB RTX3050),74990,4.05,71,"'12th Gen Intel Core i5 12500H', '12 Cores (4P + 8E), 16 Threads', '16\u2009GB DDR4 RAM', '1\u2009TB SSD', '4\u2009GB NVIDIA GeForce RTX 3050', '16\u2009inches, 1920\u2009x\u20091200\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i5,1024,12 ,16,16.0,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920 x 1200,NVIDIA,Widescreen (16:10)
Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),28660,4.2,62,"'7th Gen AMD Ryzen 3 7330U', 'Quad Core, 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'AMD Radeon AMD', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Lenovo,AMD Ryzen 3,512,No ,8,15.6,12,Windows 11 ,amd radeon amd,SSD,DDR4,1920 x 1080,Other/Unknown,Standard HD (16:9)
HP Victus 15-fa1351TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ RTX 2050),57990,4.75,61,"'12th Gen Intel Core i5 12450H', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),24990,4.05,54,"'11th Gen Intel Core i3 1115G4', 'Dual Core, 4 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Iris Xe Graphics', '14\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Acer,Intel Core i3,512,No ,8,14.0,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Lenovo V15 G4 ‎83CR000VIN Laptop ( AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),39999,4.5,63,"'7th Gen AMD Ryzen 7 7730U', 'Octa Core, 16 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', 'AMD Radeon Graphics', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Lenovo,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,amd radeon graphics,SSD,DDR4,1920 x 1080,Other/Unknown,Standard HD (16:9)
HP Victus 15-fa0333TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX 3050),66990,4.2,59,"'12th Gen Intel Core i5 12450H', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 3050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
Dell Vostro 3520 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),33890,4.05,60,"'12th Gen Intel Core i3 1215U', 'Hexa Core (2P + 4E), 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Graphics', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Dell,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel graphics,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
HP Victus 15-fa1327TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX3050 Graph),74990,4.4,63,"'13th Gen Intel Core i5 13420H', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '6\u2009GB NVIDIA GeForce RTX 3050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
HP 15s-fq5326TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),35890,4.55,55,"'12th Gen Intel Core i3 1215U', 'Hexa Core (2P + 4E), 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Integrated', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel integrated,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),53990,4.55,66,"'12th Gen Intel Core i5 12450H', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Acer,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),80390,4.05,68,"'13th Gen Intel Core i5 13450HX', '10 Cores (6P + 4E), 16 Threads', '16\u2009GB DDR5 RAM', '1\u2009TB SSD', '6\u2009GB NVIDIA GeForce RTX 3050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Dell,Intel Core i5,1024,10 ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920 x 1080,NVIDIA,Standard HD (16:9)
Asus Vivobook 15 X1502ZA-EJ541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),51990,4.7,62,"'12th Gen Intel Core i5 12500H', '12 Cores (4P + 8E), 16 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Iris Xe', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i5,512,12 ,16,15.6,12,Windows 11 ,intel iris xe,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Lenovo IdeaPad Slim 3 83EM008GIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),63990,4.6,56,"'13th Gen Intel Core i7 13620H', '10 Cores (6P + 4E), 16 Threads', '16\u2009GB LPDDR5 RAM', '512\u2009GB SSD', 'Integrated Intel UHD Graphics', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Lenovo,Intel Core i7,512,10 ,16,15.6,12,Windows 11 ,intel uhd graphics,SSD,LPDDR5,1920 x 1080,Intel,Standard HD (16:9)
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),67990,4.6,43,"'Apple M1', 'Octa Core (4P + 4E)', '8\u2009GB DDR4 RAM', '256\u2009GB SSD', 'Apple M1 Integrated Graphics', '13.3\u2009inches, 2560\u2009x\u20091600\u2009pixels', 'Mac OS', '1 Year Warranty'",Apple,Apple M Series,256,No ,8,13.3,12,Mac ,Apple M1 Integrated Graphics,SSD,DDR4,2560 x 1600,Qualcomm and ARM,Quad HD or higher
MSI Thin 15 B12UCX-1695IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB RTX 2050 Graph),53700,4.0,68,"'12th Gen Intel Core i5 12450H', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '2 Year Warranty'",MSI,Intel Core i5,512,No ,16,15.6,24,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
Acer Swift Go 14 SFG14-71 NX.KF1SI.0023 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),56990,4.7,60,"'13th Gen Intel Core i5 13500H', '12 Cores (4P + 8E), 16 Threads', '16\u2009GB LPDDR5 RAM', '512\u2009GB SSD', 'Intel Integrated Iris Xe', '14\u2009inches, 2880\u2009x\u20091800\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Acer,Intel Core i5,512,12 ,16,14.0,12,Windows 11 ,intel integrated iris xe,SSD,LPDDR5,2880 x 1800,Intel,Quad HD or higher
Asus TUF Gaming A15 FA506NCR-HN075WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11 Home / 4GB Graph),75990,4.7,70,"'7th Gen AMD Ryzen 7 7435HS', 'Octa Core, 16 Threads', '16\u2009GB DDR5 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 3050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920 x 1080,NVIDIA,Standard HD (16:9)
Red Magic Titan 16 Pro Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),120999,4.3,77,"'14th Gen Intel Core i9 14900HX', '24 Cores (8P + 16E), 32 Threads', '16\u2009GB DDR5 RAM', '1\u2009TB SSD', '8\u2009GB NVIDIA GeForce RTX 4060', '16\u2009inches, 2560\u2009x\u20091600\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Other,Intel Core i9,1024,24 ,16,16.0,12,Windows 11 ,rtx 4060,SSD,DDR5,2560 x 1600,NVIDIA,Quad HD or higher
Lenovo LOQ 2024 83GS003NIN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graph),70990,4.65,65,"'12th Gen Intel Core i5 12450HX', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB DDR5 RAM', '512\u2009GB SSD', '6\u2009GB NVIDIA GeForce RTX 3050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Lenovo,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920 x 1080,NVIDIA,Standard HD (16:9)
HP Victus 15-fa1226TX Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB RTX 2050),55490,4.15,64,"'12th Gen Intel Core i5 12450H', 'Octa Core (4P + 4E), 12 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i5,512,No ,8,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
MSI Thin A15 AI B7UCX-068IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),56990,4.0,69,"'7th Gen AMD Ryzen 5 7535HS', 'Hexa Core, 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '2 Year Warranty'",MSI,AMD Ryzen 5,512,No ,16,15.6,24,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
Lenovo ThinkBook 15 G5 21JF002PIN Laptop (AMD Ryzen 5 7530U/ 8GB/ 512 GB SSD/ Win11),37990,4.05,64,"'7th Gen AMD Ryzen 5 7530U', 'Hexa Core, 12 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'AMD Radeon AMD', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Lenovo,AMD Ryzen 5,512,No ,8,15.6,12,Windows 11 ,amd radeon amd,SSD,DDR4,1920 x 1080,Other/Unknown,Standard HD (16:9)
HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),53999,4.15,68,"'5th Gen AMD Ryzen 5 5600H', 'Hexa Core, 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB AMD Radeon RX 6500M Graphics', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,amd radeon,SSD,DDR4,1920 x 1080,Other/Unknown,Standard HD (16:9)
Acer Nitro V ANV15-41 UN.QPFSI.002 Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph),64990,4.7,68,"'7th Gen AMD Ryzen 5 7535HS', 'Hexa Core, 12 Threads', '16\u2009GB DDR5 RAM', '512\u2009GB SSD', '6\u2009GB NVIDIA GeForce RTX 3050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Acer,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920 x 1080,NVIDIA,Standard HD (16:9)
HP Victus 15-FA0888TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),67999,4.2,68,"'12th Gen Intel Core i5 12450H', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 3050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
MSI Crosshair 16 HX D14VGKG-205IN Gaming Laptop (14th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB RTX4070),189990,4.5,83,"'14th Gen Intel Core i7 14700HX', '20 Cores (8P + 12E), 28 Threads', '32\u2009GB DDR5 RAM', '1\u2009TB SSD', '8\u2009GB NVIDIA GeForce RTX 4070', '16\u2009inches, 2560\u2009x\u20091440\u2009pixels', 'Windows 11 OS', '2 Year Warranty'",MSI,Intel Core i7,1024,20 ,32,16.0,24,Windows 11 ,NVIDIA GeForce RTX 4070,SSD,DDR5,2560 x 1440,NVIDIA,Quad HD or higher
Samsung Galaxy Book 4 Edge Laptop (Snapdragon X Elite/ 16GB/ 512GB SSD/ Win11),162990,4.4,51,"'Qualcomm Snapdragon X Elite', '16\u2009GB LPDDR5X RAM', '512\u2009GB SSD', 'Intel Arc Graphics', '16\u2009inches, 2880\u2009x\u20091800\u2009pixels, Touch Screen', 'Windows 11 OS', '1 Year Warranty', 'Backlit Keyboard'",Samsung,Others,512,No ,16,16.0,12,Windows 11 ,intel arc graphics,SSD,LPDDR5X,2880 x 1800,Intel,Quad HD or higher
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),102990,4.25,78,"'14th Gen Intel Core i9 14900HX', '24 Cores (8P + 16E), 32 Threads', '16\u2009GB DDR5 RAM', '1\u2009TB SSD', '8\u2009GB NVIDIA GeForce RTX 4060', '16.1\u2009inches, 2560\u2009x\u20091600\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Other,Intel Core i9,1024,24 ,16,16.1,12,Windows 11 ,rtx 4060,SSD,DDR5,2560 x 1600,NVIDIA,Quad HD or higher
Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),32990,4.55,54,"'12th Gen Intel Core i3 1215U', 'Hexa Core (2P + 4E), 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel UHD Graphics', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Acer,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),24990,4.4,61,"'12th Gen Intel Core i3 1215U', 'Hexa Core (2P + 4E), 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Integrated', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Other,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel integrated,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50890,4.4,62,"'11th Gen Intel Core i5 11260H', 'Hexa Core, 12 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i5,512,No ,8,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
